condition,score,accuracy,macro_f1,coverage,selective_risk,accepted_accuracy,aurc,accuracy_at_10pct,accuracy_at_20pct,accuracy_at_30pct,accuracy_at_50pct,dataset
mixed_snr,ensemble_negative_entropy,0.8708333333333333,0.8730766982532713,0.8325,0.056056056056056,0.943943943943944,0.0212086289715089,1.0,1.0,1.0,1.0,PADERBORN
mixed_snr,ensemble_probability_margin,0.8708333333333333,0.8730766982532713,0.8325,0.061061061061061,0.938938938938939,0.022303399781906,1.0,1.0,1.0,1.0,PADERBORN
mixed_snr,negative_mutual_information,0.8708333333333333,0.8730766982532713,0.7516666666666667,0.0388026607538802,0.9611973392461196,0.0245790813324838,1.0,1.0,1.0,0.995,PADERBORN
colored_-6,ensemble_confidence,0.3691666666666666,0.2359798439340187,0.82,0.5945121951219512,0.4054878048780488,0.3896784715964982,0.9666666666666668,0.8083333333333333,0.7083333333333334,0.5616666666666666,PADERBORN
colored_-6,ensemble_negative_entropy,0.3691666666666666,0.2359798439340187,0.8333333333333334,0.601,0.399,0.3896784715964982,0.9666666666666668,0.8083333333333333,0.7083333333333334,0.5616666666666666,PADERBORN
colored_-6,ensemble_probability_margin,0.3691666666666666,0.2359798439340187,0.8183333333333334,0.5936863543788187,0.4063136456211813,0.3896784715964982,0.9666666666666668,0.8083333333333333,0.7083333333333334,0.5616666666666666,PADERBORN
colored_-6,negative_mutual_information,0.3691666666666666,0.2359798439340187,0.6675,0.5181023720349562,0.4818976279650437,0.3956655478196627,0.9416666666666668,0.8,0.6916666666666667,0.5516666666666666,PADERBORN
impulse_-6,ensemble_confidence,0.5983333333333334,0.5444448574008364,0.7175,0.2543554006968641,0.7456445993031359,0.1474691725507852,1.0,0.9791666666666666,0.9694444444444444,0.9083333333333332,PADERBORN
impulse_-6,ensemble_negative_entropy,0.5983333333333334,0.5444448574008364,0.7291666666666666,0.2628571428571429,0.7371428571428571,0.1458208366180072,1.0,0.975,0.9722222222222222,0.9116666666666666,PADERBORN
impulse_-6,ensemble_probability_margin,0.5983333333333334,0.5444448574008364,0.7166666666666667,0.2558139534883721,0.7441860465116279,0.1488443814250299,1.0,0.9791666666666666,0.9666666666666668,0.9066666666666666,PADERBORN
impulse_-6,negative_mutual_information,0.5983333333333334,0.5444448574008364,0.6258333333333334,0.1691078561917443,0.8308921438082557,0.1435772732779758,0.9916666666666668,0.975,0.9638888888888888,0.9166666666666666,PADERBORN
mechanical_-6,ensemble_confidence,0.4483333333333333,0.3596821654158399,0.7216666666666667,0.5531177829099307,0.4468822170900693,0.4719067161410732,0.7083333333333334,0.575,0.5388888888888889,0.4916666666666666,PADERBORN
mechanical_-6,ensemble_negative_entropy,0.4483333333333333,0.3596821654158399,0.7283333333333334,0.5526315789473684,0.4473684210526316,0.4697306319961887,0.7166666666666667,0.575,0.5388888888888889,0.4916666666666666,PADERBORN
mechanical_-6,ensemble_probability_margin,0.4483333333333333,0.3596821654158399,0.7216666666666667,0.5531177829099307,0.4468822170900693,0.4706609650811564,0.7083333333333334,0.575,0.5388888888888889,0.4933333333333333,PADERBORN
mechanical_-6,negative_mutual_information,0.4483333333333333,0.3596821654158399,0.5916666666666667,0.532394366197183,0.4676056338028169,0.475505077211688,0.6833333333333333,0.5625,0.5416666666666666,0.4866666666666667,PADERBORN
